Region,Year,mean_ndvi,mean_bsi,mean_ndwi,Area_Name,Final_Label,Area_Trend,Risk_Factor,Area_Risk_Trend,Mean_Rainfall_mm
19,2019-01-01,-0.3980183674653335,1.7769066965530125,-0.6054517045914901,Segera,0,Overall Stable,2.780376768609836,Stable,13.13345484965084
19,2020-01-01,0.2065529311676258,1.0056947395060458,-0.8466238495130967,Segera,0,Overall Stable,2.058871520186768,Stable,14.671010137616394
19,2021-01-01,-0.4030021556695856,1.6664664185430695,-0.5242661153580334,Segera,0,Overall Stable,2.5937346895706885,Stable,8.738779743136138
19,2022-01-01,-0.6372614797569968,0.7913144102070526,0.3866399058252758,Segera,1,Overall Stable,1.8152157957893251,Stable,7.539985118625925
19,2023-01-01,-0.9657582689382836,1.0204543988178718,0.511432820819561,Segera,1,Overall Stable,2.497645488575716,Stable,11.282814957638124
19,2024-01-01,-0.472126199306024,0.4522039524047954,0.3824309115222227,Segera,1,Overall Stable,1.3067610632330422,Stable,12.121365075919387
19,2025-01-01,0.0066702205253929,-0.1097304163045478,0.0611578342589551,Segera,1,Overall Stable,0.1775584710888959,Stable,5.314553438199413
17,2019-01-01,-1.1919246785319435,0.9392383388882428,0.8742687931965065,Lekurruki Conservancy Trust,1,Overall Loss,3.0054318106166926,Severe Risk Loss,13.475784646563548
17,2020-01-01,-0.9709463876271196,0.8705795084308687,0.7079955426722476,Lekurruki Conservancy Trust,1,Overall Loss,2.549521438730236,Severe Risk Loss,13.016982444971315
17,2021-01-01,-1.1317867419684398,0.872579181559013,0.85490621864413,Lekurruki Conservancy Trust,1,Overall Loss,2.8592721421715828,Severe Risk Loss,8.344093340835059
17,2022-01-01,-1.3694362130795363,0.3613869485470903,1.3935177997793544,Lekurruki Conservancy Trust,1,Overall Loss,3.124340961405981,Severe Risk Loss,6.532592426011108
17,2023-01-01,-1.3625614725812336,0.3560995177992868,1.3608096302875905,Lekurruki Conservancy Trust,1,Overall Loss,3.079470620668111,Severe Risk Loss,13.559676019513876
17,2024-01-01,-1.2249071590266971,0.2626529060106408,1.2785180145458983,Lekurruki Conservancy Trust,1,Overall Loss,2.7660780795832367,Severe Risk Loss,10.639686196481906
17,2025-01-01,-1.24949980106351,0.2906274877435935,1.268100891611366,Lekurruki Conservancy Trust,1,Overall Loss,2.8082281804184697,Severe Risk Loss,4.760677284907412
